ID	media	inductionstatus	timepoint	replicate
DM_I_24H_1	DM	I	24H	1
LB_I_6H_2	LB	I	6H	2
DM_I_24H_5	DM	I	24H	5
LB_NI_6H_4	LB	NI	6H	4
LB_I_3H_3	LB	I	3H	3
LB_NO_0H_5	LB	NO	0H	5
DM_NI_24H_5	DM	NI	24H	5
LB_I_48H_4	LB	I	48H	4
LB_NI_24H_5	LB	NI	24H	5
LB_NI_3H_5	LB	NI	3H	5
LB_NI_3H_1	LB	NI	3H	1
LB_I_9H_4	LB	I	9H	4
LB_NO_0H_1	LB	NO	0H	1
LB_NI_9H_2	LB	NI	9H	2
DM_NI_48H_3	DM	NI	48H	3
DM_NI_24H_1	DM	NI	24H	1
LB_NI_48H_3	LB	NI	48H	3
LB_I_24H_2	LB	I	24H	2
LB_NI_24H_1	LB	NI	24H	1
LB_NO_0H_4	LB	NO	0H	4
LB_I_3H_2	LB	I	3H	2
DM_NI_24H_4	DM	NI	24H	4
LB_I_48H_5	LB	I	48H	5
LB_NI_24H_4	LB	NI	24H	4
LB_NI_3H_4	LB	NI	3H	4
LB_I_9H_1	LB	I	9H	1
LB_I_9H_5	LB	I	9H	5
DM_NI_48H_2	DM	NI	48H	2
LB_NI_48H_2	LB	NI	48H	2
LB_I_24H_3	LB	I	24H	3
LB_I_48H_1	LB	I	48H	1
LB_NI_9H_3	LB	NI	9H	3
DM_I_48H_2	DM	I	48H	2
LB_NI_6H_1	LB	NI	6H	1
LB_I_6H_3	LB	I	6H	3
DM_I_24H_4	DM	I	24H	4
LB_NI_6H_5	LB	NI	6H	5
LB_NI_48H_4	LB	NI	48H	4
LB_I_24H_5	LB	I	24H	5
DM_NI_48H_4	DM	NI	48H	4
LB_NI_9H_5	LB	NI	9H	5
LB_I_9H_3	LB	I	9H	3
LB_NI_3H_2	LB	NI	3H	2
LB_I_24H_1	LB	I	24H	1
LB_I_48H_3	LB	I	48H	3
LB_NI_24H_2	LB	NI	24H	2
DM_NI_24H_2	DM	NI	24H	2
LB_NI_9H_1	LB	NI	9H	1
LB_NO_0H_2	LB	NO	0H	2
LB_I_3H_4	LB	I	3H	4
LB_NI_6H_3	LB	NI	6H	3
DM_I_24H_2	DM	I	24H	2
LB_I_6H_5	LB	I	6H	5
LB_I_6H_1	LB	I	6H	1
DM_I_48H_4	DM	I	48H	4
LB_NI_6H_2	LB	NI	6H	2
DM_I_48H_1	DM	I	48H	1
DM_I_24H_3	DM	I	24H	3
LB_I_6H_4	LB	I	6H	4
DM_I_48H_5	DM	I	48H	5
LB_NI_9H_4	LB	NI	9H	4
LB_NI_48H_5	LB	NI	48H	5
LB_I_24H_4	LB	I	24H	4
DM_NI_48H_5	DM	NI	48H	5
LB_I_3H_1	LB	I	3H	1
LB_I_9H_2	LB	I	9H	2
LB_NI_3H_3	LB	NI	3H	3
LB_NI_48H_1	LB	NI	48H	1
LB_I_48H_2	LB	I	48H	2
LB_NI_24H_3	LB	NI	24H	3
DM_NI_48H_1	DM	NI	48H	1
DM_NI_24H_3	DM	NI	24H	3
LB_I_3H_5	LB	I	3H	5
LB_NO_0H_3	LB	NO	0H	3
